,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-12,0.0,3.67
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2011-12,-4.71,3.07
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2012-12,0.72,5.58
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2013-12,0.95,4.23
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2014-12,-0.29,4.23
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-12,-0.82,4.67
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2016-12,0.93,4.49
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017-12,1.52,4.07
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2018-12,1.48,3.34
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-12,0.76,4.12
10,10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,4.12
