,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,2010-12,0.81,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2011-12,0.06,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2012-12,0.74,0
3,3,3,3,3,3,3,3,3,3,3,3,3,2013-12,0.82,0
4,4,4,4,4,4,4,4,4,4,4,4,4,2014-12,0.49,0
5,5,5,5,5,5,5,5,5,5,5,5,5,2015-12,0.82,0
6,6,6,6,6,6,6,6,6,6,6,6,6,2016-12,2.9,0
7,7,7,7,7,7,7,7,7,7,7,7,7,2017-12,0.57,0
8,8,8,8,8,8,8,8,8,8,8,8,8,2018-12,-1.38,0
9,9,9,9,9,9,9,9,9,9,9,9,9,2019-12,1.95,0
10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,0
